appid,name,year,developer,platforms,num_ratings,positive_rate,multi_player,single_player,genre,theme,special
4520,Full Spectrum Warrior,2007,Pandemic Studios,windows,166,0.638554217,1,1,"['0', '1']",,['2']
4530,Full Spectrum Warrior: Ten Hammers,2007,Pandemic Studios,windows,114,0.666666667,1,1,"['0', '1']",,['2']
4560,Company of Heroes - Legacy Edition,2007,Relic Entertainment,windows,5092,0.937156324,1,1,"['0', '1', '10']","['14', '23']",['4']
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007,Relic Entertainment,windows,3691,0.944188567,1,1,['1'],['14'],['4']
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007,Relic Entertainment,windows,2982,0.955399061,1,1,['1'],['14'],['4']
4700,Total War: MEDIEVAL II – Definitive Edition,2006,CREATIVE ASSEMBLY;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,10875,0.944367816,1,1,['1'],,
4720,Condemned: Criminal Origins,2012,Monolith,windows,1464,0.849043716,0,1,['0'],['3'],
4760,Rome: Total War™ - Collection,2007,CREATIVE ASSEMBLY,windows,8368,0.932839388,1,1,['1'],,
4770,Rome: Total War™ - Alexander,2007,The Creative Assembly,windows,462,0.716450216,1,1,['1'],['14'],
4780,Medieval II: Total War™ Kingdoms,2007,The Creative Assembly;Feral Interactive (Mac);Feral Interactive (Linux),windows;mac;linux,615,0.951219512,1,1,['1'],,
4800,Heroes of Annihilated Empires,2006,GSC Game World,windows,305,0.849180328,1,1,['1'],['14'],
4850,Cossacks: Back to War,2010,GSC Game World,windows,1224,0.883169935,1,1,['1'],"['14', '16']",
4870,Cossacks: Art of War,2011,GSC Game World,windows,124,0.822580645,0,1,['1'],['14'],
4880,Cossacks: European Wars,2011,GSC Game World,windows,236,0.720338983,0,1,['1'],['14'],
4890,Cossacks II: Battle for Europe,2011,GSC Game World,windows,384,0.640625,1,1,['1'],['14'],
4900,Zen of Sudoku,2006,Unknown Worlds Entertainment,windows,139,0.877697842,0,1,"['3', '7']",['0'],
4920,Natural Selection 2,2012,Unknown Worlds Entertainment,windows;linux,9870,0.84822695,1,0,"['0', '1', '3']",['6'],['4']
6000,STAR WARS™ Republic Commando™,2009,LucasArts,windows,6771,0.944025993,1,1,['0'],['6'],['4']
6010,Indiana Jones® and the Fate of Atlantis™,2009,LucasArts,windows;mac,628,0.950636943,0,1,['2'],"['4', '16']",['4']
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009,Raven Software;Aspyr (Mac),windows;mac,6014,0.945128035,1,1,['0'],['21'],['4']
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,2009,Raven Software;Aspyr (Mac),windows;mac,2239,0.902188477,1,1,['0'],['16'],['4']
6040,The Dig®,2009,LucasArts,windows;mac,630,0.912698413,0,1,['2'],"['4', '21']",['4']
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2009,Pandemic Studios,windows,31574,0.923196301,1,1,['0'],,['4']
6080,Thrillville®: Off the Rails™,2009,Frontier,windows,310,0.877419355,1,1,"['0', '1', '2', '8', '9']",,"['2', '4']"
6090,Armed and Dangerous®,2009,Planet Moon Studios,windows,133,0.864661654,0,1,['0'],,['4']
6120,Shank,2010,Klei Entertainment,windows;mac;linux,1976,0.885121457,0,1,"['0', '3']",,"['1', '4']"
6200,Ghost Master®,2006,Sick Puppies,windows,1189,0.862068966,0,1,['1'],['0'],
6210,Vegas: Make It Big™,2006,Deepred,windows,124,0.733870968,0,1,['1'],,
6220,FlatOut,2007,Bugbear Entertainment,windows,2163,0.914008322,1,1,['9'],,
6250,Making History: The Calm & the Storm,2007,Muzzy Lane,windows,567,0.811287478,1,1,"['0', '1']",,
6270,Ducati World Championship,2007,Artematica Entertainment,windows,177,0.435028249,1,1,['9'],,
6300,Dreamfall: The Longest Journey,2007,Funcom,windows,677,0.868537666,0,1,"['2', '4']","['13', '22']",
6310,The Longest Journey,2007,Funcom,windows,1254,0.918660287,0,1,"['0', '2', '4']","['4', '13']",
6370,Bloodline Champions,2011,Stunlock Studios,windows,1591,0.857950974,1,1,"['0', '11']",,
6400,Joint Task Force,2007,Most Wanted Entertainment,windows,115,0.869565217,1,1,"['0', '1']",['14'],['2']
6420,Nexus - The Jupiter Incident,2007,Mithis Games;THQ Nordic,windows,564,0.840425532,1,1,"['1', '3', '8']","['11', '21']",
6510,Lost Planet™: Extreme Condition,2007,"CAPCOM Co., Ltd.",windows,747,0.761713521,1,1,"['0', '2']",,
6550,Devil May Cry® 3 Special Edition,2007,"CAPCOM Co., Ltd.",windows,2514,0.581543357,0,1,['0'],,['7']
6800,Commandos: Behind Enemy Lines,2007,Pyro Studios,windows,1774,0.879932356,1,1,['0'],,['2']
6810,Commandos: Beyond the Call of Duty,2007,Pyro Studios,windows,475,0.850526316,1,1,['0'],,['2']
6830,Commandos 2: Men of Courage,2007,Pyro Studios,windows,1571,0.848504137,1,1,['0'],,['2']
6840,Commandos 3: Destination Berlin,2007,Pyro Studios,windows,686,0.613702624,1,1,['0'],,['2']
6850,Hitman 2: Silent Assassin,2007,Io-Interactive A/S,windows,1774,0.853438557,0,1,['0'],,
6860,Hitman: Blood Money,2007,Io-Interactive A/S,windows,6255,0.937490008,0,1,['0'],,
6870,Battlestations: Midway,2007,Eidos Interactive,windows,429,0.736596737,0,1,['0'],['23'],
6880,Just Cause,2007,Avalanche Studios,windows,2578,0.671838635,0,1,['0'],['9'],
6900,Hitman: Codename 47,2007,IO Interactive A/S,windows,1636,0.724938875,0,1,['0'],['16'],
6910,Deus Ex: Game of the Year Edition,2007,Ion Storm,windows,6589,0.94733647,1,1,['0'],,
6920,Deus Ex: Invisible War,2007,Ion Storm,windows,1082,0.599815157,0,1,['0'],['6'],
6980,Thief: Deadly Shadows,2007,Ion Storm,windows,1345,0.843866171,0,1,['0'],,
7000,Tomb Raider: Legend,2007,Crystal Dynamics,windows,1899,0.872037915,0,1,"['0', '2']",['13'],
7010,Project: Snowblind,2007,Crystal Dynamics,windows,236,0.741525424,1,1,['0'],['6'],
7020,Rogue Trooper,2007,Rebellion,windows,263,0.942965779,1,1,['0'],['21'],['2']
7110,Jade Empire™: Special Edition,2007,BioWare Corporation,windows,1088,0.743566176,0,1,['4'],"['22', '24']",
7200,Trackmania United Forever Star Edition,2008,Nadeo,windows,1018,0.945972495,1,1,['9'],,
7210,"Runaway, A Road Adventure",2007,Pendulo Studios,windows,326,0.72392638,0,1,['2'],['4'],
7220,"Runaway, The Dream of The Turtle",2007,Pendulo Studios,windows,151,0.569536424,0,1,['2'],['4'],
7260,Loki,2007,Cyanide Studios,windows,123,0.56097561,1,1,['4'],,
7340,Azada,2010,Big Fish Games,windows,12,0.666666667,0,1,"['3', '7']",['0'],
7510,X-Blades,2009,Gaijin Entertainment,windows;mac;linux,2547,0.614840989,0,1,"['0', '2', '4', '10']",['13'],
7520,Two Worlds II HD,2011,Reality Pump Studios,windows;mac,5105,0.598237023,1,1,"['4', '10']","['9', '24']","['1', '2', '4', '8']"
7530,Two Worlds II Castle Defense,2011,Reality Pump Studios,windows;mac,347,0.44092219,0,1,['1'],"['17', '24']",['4']
7600,Sid Meier's Railroads!,2007,Firaxis Games;Feral Interactive (Mac),windows;mac,1684,0.66152019,1,1,['1'],,
7610,Railroad Tycoon 3,2007,PopTop,windows,508,0.698818898,1,1,['1'],,
7620,Railroad Tycoon II Platinum,2007,PopTop,windows,502,0.836653386,0,1,['1'],,
7650,X-COM: Terror From the Deep,2007,"MicroProse Software, Inc",windows,417,0.923261391,0,1,['1'],"['18', '21']",
7660,X-COM: Apocalypse,2008,"MicroProse Software, Inc",windows,470,0.887234043,0,1,['1'],['18'],
7730,X-COM: Interceptor,2008,"MicroProse Software, Inc",windows,111,0.513513514,1,1,['1'],"['11', '21']",
7760,X-COM: UFO Defense,2008,"MicroProse Software, Inc",windows,2301,0.940895263,0,1,['1'],"['16', '18']",
7770,X-COM: Enforcer,2008,"MicroProse Software, Inc",windows,284,0.514084507,1,1,['1'],,
7830,Men of War™,2009,Best Way,windows,1921,0.866215513,1,1,['1'],"['14', '23']",['4']
7840,Death Track®: Resurrection,2009,Sky Fallen,windows,84,0.404761905,0,1,['9'],,['4']
7860,NecroVision,2009,The Farm 51,windows,809,0.666254635,1,1,['0'],['6'],['4']
7940,Call of Duty® 4: Modern Warfare®,2007,Infinity Ward;Aspyr (Mac),windows;mac,9546,0.913995391,1,1,['0'],['6'],
8000,Tomb Raider: Anniversary,2007,Crystal Dynamics;Feral Interactive (Mac),windows,2353,0.834679133,0,1,"['0', '2']",['13'],
8080,Kane and Lynch: Dead Men™,2007,IO Interactive,windows,1947,0.628145865,1,1,['0'],,
8100,Conflict: Denied Ops,2008,Pivotal Games,windows,192,0.463541667,0,1,['0'],['6'],
8140,Tomb Raider: Underworld,2008,Crystal Dynamics,windows,2373,0.749683944,0,1,"['0', '2']",['13'],
8170,Battlestations Pacific,2009,Eidos Studio Hungary,windows,1570,0.65477707,1,1,"['0', '1']",['23'],
8190,Just Cause 2,2010,Avalanche Studios,windows,36867,0.912360648,0,1,"['0', '2']",['9'],"['1', '4']"
8310,Bone: Out From Boneville,2008,Telltale Games,windows,149,0.523489933,0,1,['2'],['4'],
8320,Bone: The Great Cow Race,2008,Telltale Games,windows,77,0.571428571,0,1,['2'],['4'],
8330,Telltale Texas Hold ‘Em,2008,Telltale Games,windows,146,0.47260274,0,1,['7'],['19'],
8340,Strong Bad's Cool Game for Attractive People: Season 1,2008,Telltale Games,windows;mac,243,0.897119342,0,1,['2'],['4'],
8400,Geometry Wars: Retro Evolved,2007,Bizarre Creations,windows,645,0.903875969,0,1,['7'],['12'],['1']
8500,EVE Online,2010,CCP,windows;mac,11149,0.745986187,1,0,"['0', '1', '4', '11']","['11', '21']",['2']
8600,RACE 07,2007,SimBin,windows,2032,0.828740157,1,1,['9'],,
8790,GTR 2 FIA GT Racing Game,2012,SimBin Studios AB,windows,190,0.915789474,1,1,"['8', '9', '12']",['14'],
8800,Civilization IV: Beyond the Sword,2007,Firaxis Games,windows;mac,1462,0.954856361,0,1,['1'],['18'],
